iter	Passed	Remaining
0	85	85883
1	92	46255
2	95	31637
3	96	24124
4	99	19879
5	101	16824
6	103	14686
7	105	13055
8	107	11888
9	109	10870
10	112	10108
11	121	10018
12	123	9376
13	126	8903
14	129	8519
15	131	8107
16	133	7741
17	135	7390
18	136	7069
19	139	6820
20	141	6584
21	142	6356
22	149	6355
23	151	6158
24	153	5968
25	154	5805
26	156	5646
27	158	5514
28	160	5382
29	162	5255
30	164	5132
31	166	5024
32	168	4923
33	170	4839
34	181	5001
35	183	4909
36	186	4857
37	190	4825
38	193	4761
39	194	4677
40	197	4613
41	199	4543
42	200	4467
43	203	4425
44	206	4376
45	208	4324
46	210	4262
47	212	4209
48	213	4147
49	216	4110
50	219	4090
51	222	4055
52	224	4012
53	226	3967
54	228	3923
55	229	3874
56	231	3828
57	234	3806
58	241	3850
59	245	3840
60	247	3807
61	249	3769
62	250	3730
63	252	3692
64	254	3655
65	255	3622
66	260	3621
67	262	3594
68	263	3561
69	265	3531
70	267	3501
71	269	3470
72	271	3453
73	275	3448
74	279	3447
75	281	3420
76	283	3393
77	285	3369
78	287	3346
79	288	3322
80	291	3311
81	294	3294
82	296	3273
83	298	3255
84	300	3230
85	301	3207
86	303	3188
87	305	3169
88	323	3310
89	325	3293
90	343	3433
91	359	3543
92	362	3531
93	365	3520
94	367	3501
95	371	3493
96	373	3475
97	375	3452
98	377	3433
99	379	3415
100	381	3394
101	383	3373
102	385	3354
103	387	3338
104	389	3319
105	393	3319
106	396	3305
107	398	3289
108	400	3271
109	403	3268
110	411	3295
111	414	3284
112	415	3265
113	418	3255
114	423	3256
115	433	3305
116	437	3300
117	440	3293
118	442	3278
119	446	3272
120	448	3256
121	450	3240
122	452	3227
123	454	3214
124	456	3198
125	458	3180
126	460	3164
127	462	3153
128	470	3177
129	473	3168
130	475	3155
131	478	3145
132	482	3143
133	484	3130
134	486	3114
135	488	3100
136	490	3090
137	492	3076
138	494	3064
139	496	3049
140	498	3038
141	500	3025
